Date,Open,High,Low,Close
01/01/2021,"29,189","29,679","28,731","29,312"
12/31/2020,"28,794","29,303","28,000","29,186"
12/30/2020,"26,971","28,993","26,822","28,793"
12/29/2020,"26,825","27,101","25,859","26,970"
12/28/2020,"26,185","27,461","25,790","26,825"
12/27/2020,"26,409","28,359","26,112","26,185"
12/26/2020,"24,447","26,429","24,213","26,409"
12/25/2020,"23,522","24,642","23,383","24,447"
12/24/2020,"23,494","23,543","22,643","23,522"
12/23/2020,"23,440","24,075","22,809","23,494"
12/22/2020,"22,837","23,617","22,390","23,440"
12/21/2020,"24,181","24,199","21,943","22,836"
12/20/2020,"23,940","24,298","23,111","24,181"
12/19/2020,"22,794","24,172","22,791","23,940"
12/18/2020,"22,792","23,280","22,361","22,794"
12/17/2020,"20,830","23,751","20,752","22,784"
12/16/2020,"19,504","20,896","19,302","20,832"
12/15/2020,"19,205","19,559","19,053","19,504"
12/14/2020,"19,151","19,333","18,986","19,204"
12/13/2020,"18,777","19,410","18,730","19,151"
12/12/2020,"17,977","18,849","17,958","18,777"
12/11/2020,"18,367","18,401","17,588","17,978"
12/10/2020,"18,331","18,642","17,914","18,367"
12/09/2020,"18,734","18,831","17,647","18,331"
12/08/2020,"19,057","19,299","18,619","18,734"
12/07/2020,"19,180","19,428","18,909","19,057"
12/06/2020,"19,060","19,343","18,880","19,180"
12/05/2020,"18,979","19,178","18,511","19,059"
12/04/2020,"19,383","19,554","18,710","18,980"
12/03/2020,"19,100","19,614","18,886","19,382"
12/02/2020,"19,034","19,335","18,347","19,100"
12/01/2020,"19,437","19,912","18,138","19,034"
11/30/2020,"18,214","19,851","18,093","19,437"
11/29/2020,"17,697","18,241","17,541","18,214"
11/28/2020,"17,080","17,893","16,885","17,697"
11/27/2020,"17,155","17,468","16,451","17,086"
11/26/2020,"18,908","19,030","16,222","17,155"
11/25/2020,"19,070","19,502","18,650","18,908"
11/24/2020,"18,399","19,439","18,082","19,072"
11/23/2020,"18,577","18,778","18,005","18,400"
11/22/2020,"18,664","18,767","17,634","18,577"
11/21/2020,"18,651","18,978","18,367","18,665"
11/20/2020,"18,055","18,823","17,727","18,651"
11/19/2020,"17,665","18,178","17,373","18,056"
11/18/2020,"17,687","18,481","17,275","17,665"
11/17/2020,"16,840","17,868","16,576","17,687"
11/16/2020,"15,863","16,857","15,798","16,840"
11/15/2020,"16,005","16,170","15,825","15,863"
11/14/2020,"16,219","16,375","15,731","16,006"
11/13/2020,"16,167","16,489","15,981","16,219"
11/12/2020,"15,734","16,213","15,482","16,167"
11/11/2020,"15,298","15,991","15,296","15,734"
11/10/2020,"15,382","15,477","15,101","15,297"
11/09/2020,"15,390","15,846","14,828","15,382"
11/08/2020,"14,870","15,655","14,686","15,390"
11/07/2020,"15,483","15,771","14,359","14,870"
11/06/2020,"15,096","15,969","15,093","15,482"
11/05/2020,"14,049","15,307","14,001","15,096"
11/04/2020,"13,741","14,265","13,544","14,049"
11/03/2020,"13,672","13,803","13,299","13,741"
11/02/2020,"13,831","13,865","13,223","13,672"
11/01/2020,"13,799","13,899","13,639","13,831"
10/31/2020,"13,550","14,080","13,433","13,799"
10/30/2020,"13,508","13,665","13,135","13,550"
10/29/2020,"13,173","13,650","12,990","13,515"
10/28/2020,"13,673","13,859","12,900","13,170"
10/27/2020,"13,019","13,760","13,003","13,673"
10/26/2020,"13,057","13,243","12,797","13,019"
10/25/2020,"13,135","13,353","12,913","13,057"
10/24/2020,"12,930","13,171","12,889","13,134"
10/23/2020,"13,092","13,200","12,735","12,930"
10/22/2020,"12,703","13,244","12,701","13,092"
10/21/2020,"11,930","12,914","11,872","12,703"
10/20/2020,"11,695","12,050","11,674","11,930"
10/19/2020,"11,445","11,831","11,418","11,695"
10/18/2020,"11,348","11,494","11,328","11,445"
10/17/2020,"11,329","11,412","11,273","11,348"
10/16/2020,"11,531","11,611","11,210","11,330"
10/15/2020,"11,350","11,540","11,264","11,531"
10/14/2020,"11,393","11,555","11,299","11,350"
10/13/2020,"11,551","11,723","11,317","11,393"
10/12/2020,"11,338","11,594","11,208","11,551"
10/11/2020,"11,363","11,443","11,270","11,338"
10/10/2020,"11,044","11,489","11,026","11,363"
10/09/2020,"10,890","11,108","10,839","11,044"
10/08/2020,"10,652","10,956","10,540","10,890"
10/07/2020,"10,574","10,681","10,529","10,652"
10/06/2020,"10,734","10,800","10,534","10,575"
10/05/2020,"10,679","10,774","10,629","10,734"
10/04/2020,"10,589","10,694","10,527","10,679"
10/03/2020,"10,521","10,603","10,472","10,589"
10/02/2020,"10,615","10,661","10,385","10,521"
10/01/2020,"10,715","10,923","10,448","10,615"
09/30/2020,"10,743","10,860","10,664","10,715"
09/29/2020,"10,862","10,888","10,641","10,743"
09/28/2020,"10,736","10,946","10,709","10,862"
09/27/2020,"10,723","10,802","10,602","10,736"
09/26/2020,"10,726","10,827","10,659","10,723"
09/25/2020,"10,654","10,789","10,561","10,726"
