Date,Open,High,Low,Close
12/31/2021,"47,204","48,570","45,663","45,869"
12/30/2021,"47,358","47,912","45,991","47,201"
12/29/2021,"47,784","48,131","46,612","47,359"
12/28/2021,"51,257","51,312","47,319","47,784"
12/27/2021,"50,302","52,062","49,976","51,258"
12/26/2021,"50,898","51,107","49,483","50,303"
12/25/2021,"51,144","51,160","50,217","50,899"
12/24/2021,"50,953","51,851","50,465","51,141"
12/23/2021,"48,975","51,378","48,061","50,949"
12/22/2021,"48,626","49,574","48,469","48,973"
12/21/2021,"47,022","49,320","46,666","48,627"
12/20/2021,"46,807","47,525","45,589","47,016"
12/19/2021,"46,877","48,280","46,474","46,807"
12/18/2021,"46,212","47,341","45,545","46,877"
12/17/2021,"47,928","48,154","45,500","46,213"
12/16/2021,"49,248","49,429","47,678","47,944"
12/15/2021,"47,783","49,494","46,584","49,251"
12/14/2021,"46,619","47,949","46,283","47,783"
12/13/2021,"50,301","50,386","45,788","46,613"
12/12/2021,"48,590","50,790","48,440","50,301"
12/11/2021,"48,443","49,279","46,805","48,590"
12/10/2021,"47,679","50,038","47,300","48,445"
12/09/2021,"50,781","50,849","47,342","47,678"
12/08/2021,"50,446","51,222","48,726","50,783"
12/07/2021,"48,889","51,960","48,878","50,443"
12/06/2021,"48,938","49,585","47,262","48,889"
12/05/2021,"49,342","49,760","47,843","48,943"
12/04/2021,"53,510","54,058","42,020","49,343"
12/03/2021,"57,043","57,652","51,809","53,512"
12/02/2021,"56,802","57,406","55,858","57,040"
12/01/2021,"57,471","59,097","56,691","56,820"
11/30/2021,"58,101","59,223","55,948","57,511"
11/29/2021,"54,980","58,891","54,945","58,101"
11/28/2021,"54,299","55,177","53,360","54,981"
11/27/2021,"54,569","55,314","53,574","54,300"
11/26/2021,"58,905","59,331","53,564","54,569"
11/25/2021,"57,427","59,434","56,906","58,906"
11/24/2021,"57,857","57,865","55,909","57,425"
11/23/2021,"55,912","57,859","55,461","57,854"
11/22/2021,"59,700","59,705","55,770","55,911"
11/21/2021,"59,469","60,050","58,570","59,701"
11/20/2021,"57,876","59,668","57,440","59,468"
11/19/2021,"58,003","58,394","55,666","57,876"
11/18/2021,"60,442","60,960","56,669","58,003"
11/17/2021,"59,756","61,162","58,442","60,442"
11/16/2021,"63,918","64,018","58,674","59,755"
11/15/2021,"64,237","66,331","63,663","63,918"
11/14/2021,"64,381","65,312","63,633","64,236"
11/13/2021,"64,147","64,962","63,410","64,381"
11/12/2021,"64,829","65,467","62,322","64,146"
11/11/2021,"65,799","66,129","63,036","64,829"
11/10/2021,"67,354","68,991","65,269","65,822"
11/09/2021,"66,091","68,526","66,004","67,353"
11/08/2021,"62,693","66,531","62,693","66,093"
11/07/2021,"61,218","62,807","61,169","62,693"
11/06/2021,"61,152","61,582","60,138","61,218"
11/05/2021,"61,256","62,613","60,811","61,151"
11/04/2021,"62,870","63,237","60,775","61,256"
11/03/2021,"63,639","63,639","60,526","62,876"
11/02/2021,"61,499","64,293","60,473","63,639"
11/01/2021,"60,732","62,468","59,563","61,495"
10/31/2021,"61,745","62,423","60,039","60,732"
10/30/2021,"62,565","62,687","60,795","61,743"
10/29/2021,"61,388","62,952","60,233","62,560"
10/28/2021,"59,101","61,802","58,004","61,388"
10/27/2021,"61,987","62,288","58,152","59,101"
10/26/2021,"62,662","63,277","61,826","61,987"
10/25/2021,"60,674","63,706","60,582","62,655"
10/24/2021,"61,029","61,472","59,541","60,676"
10/23/2021,"61,001","61,727","59,673","61,029"
10/22/2021,"62,807","63,718","60,034","61,000"
10/21/2021,"66,420","66,626","62,283","62,817"
10/20/2021,"64,248","66,975","63,553","66,423"
10/19/2021,"61,439","64,309","61,145","64,256"
10/18/2021,"60,509","62,652","59,050","61,438"
10/17/2021,"60,837","61,432","60,346","60,510"
10/16/2021,"61,444","62,873","60,162","60,837"
10/15/2021,"57,874","61,833","56,893","61,445"
10/14/2021,"57,281","58,519","56,660","57,867"
10/13/2021,"55,309","57,292","54,112","57,281"
10/12/2021,"57,500","57,647","55,218","55,307"
10/11/2021,"55,483","57,819","54,400","57,501"
10/10/2021,"54,670","56,059","54,134","55,484"
10/09/2021,"54,694","55,464","53,714","54,670"
10/08/2021,"53,976","56,078","53,672","54,694"
10/07/2021,"55,087","55,736","53,437","53,976"
10/06/2021,"51,203","55,322","50,433","55,088"
10/05/2021,"49,365","51,371","48,604","51,202"
10/04/2021,"48,822","49,498","46,938","49,364"
10/03/2021,"48,249","49,215","47,134","48,823"
10/02/2021,"48,030","48,462","47,485","48,249"
10/01/2021,"43,578","48,120","43,126","48,019"
09/30/2021,"41,185","44,098","40,911","43,578"
09/29/2021,"41,573","42,578","40,782","41,185"
09/28/2021,"43,056","43,400","41,136","41,570"
09/27/2021,"43,258","44,333","42,724","43,056"
09/26/2021,"42,686","43,746","40,810","43,258"
09/25/2021,"42,410","43,208","41,713","42,686"
09/24/2021,"44,803","45,143","40,750","42,406"
09/23/2021,"43,447","44,931","43,064","44,803"
09/22/2021,"42,022","44,015","39,612","43,449"
09/21/2021,"43,864","43,936","40,267","42,014"
09/20/2021,"47,383","47,654","42,528","43,864"
09/19/2021,"48,262","48,378","47,119","47,382"
09/18/2021,"47,494","48,800","46,814","48,261"
09/17/2021,"47,448","48,166","46,764","47,494"
09/16/2021,"48,088","48,486","47,242","47,449"
09/15/2021,"46,479","48,453","46,426","48,088"
09/14/2021,"44,764","46,963","44,704","46,480"
09/13/2021,"45,911","46,844","43,481","44,765"
09/12/2021,"45,381","46,250","44,770","45,911"
09/11/2021,"45,645","45,984","44,200","45,391"
09/10/2021,"46,590","47,029","44,773","45,645"
09/09/2021,"46,451","47,397","45,575","46,591"
09/08/2021,"46,696","47,360","44,457","46,451"
09/07/2021,"51,747","52,913","42,921","46,695"
09/06/2021,"50,702","52,217","50,663","51,748"
09/05/2021,"50,011","50,891","49,517","50,702"
09/04/2021,"50,543","50,546","49,436","50,011"
09/03/2021,"49,331","51,037","48,356","50,543"
09/02/2021,"48,168","50,375","48,133","49,329"
09/01/2021,"47,321","49,096","46,542","48,168"
08/31/2021,"48,642","48,715","46,716","47,321"
08/30/2021,"48,822","49,405","47,429","48,642"
08/29/2021,"48,691","49,650","47,821","48,822"
08/28/2021,"48,342","49,303","48,206","48,691"
08/27/2021,"46,954","48,558","46,386","48,343"
08/26/2021,"48,684","49,350","46,324","46,955"
08/25/2021,"48,252","49,160","47,151","48,684"
08/24/2021,"49,265","49,868","47,777","48,252"
08/23/2021,"48,685","50,500","48,301","49,265"
08/22/2021,"48,979","49,463","48,108","48,685"
08/21/2021,"48,683","49,791","48,300","48,975"
08/20/2021,"46,697","49,115","46,367","48,681"
08/19/2021,"44,900","46,750","43,990","46,697"
08/18/2021,"45,515","46,008","44,242","44,899"
08/17/2021,"46,102","47,153","45,287","45,517"
08/16/2021,"46,356","48,055","46,000","46,102"
08/15/2021,"47,080","47,385","45,552","46,356"
08/14/2021,"46,480","48,153","46,043","47,084"
08/13/2021,"44,409","46,676","43,904","46,481"
08/12/2021,"46,474","46,680","43,822","44,410"
08/11/2021,"45,510","46,769","45,263","46,474"
08/10/2021,"45,995","46,688","44,668","45,509"
08/09/2021,"43,724","46,484","42,839","45,989"
08/08/2021,"44,015","45,341","43,320","43,724"
